ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,Cnf,PUI,PUM,Date_updat,Scr,Link
Agdangan,PH045601000,Quezon,PH045600000,0,,,10/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Alabat,PH045602000,Quezon,PH045600000,0,,,11/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Atimonan,PH045603000,Quezon,PH045600000,0,,,12/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Buenavista,PH045605000,Quezon,PH045600000,0,,,13/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Burdeos,PH045606000,Quezon,PH045600000,0,,,14/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Calauag,PH045607000,Quezon,PH045600000,1,,,15/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Candelaria,PH045608000,Quezon,PH045600000,2,,,16/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Catanauan,PH045610000,Quezon,PH045600000,0,,,17/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Dolores,PH045615000,Quezon,PH045600000,0,,,18/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
General Luna,PH045616000,Quezon,PH045600000,0,,,19/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
General Nakar,PH045617000,Quezon,PH045600000,0,,,20/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Guinayangan,PH045618000,Quezon,PH045600000,0,,,21/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Gumaca,PH045619000,Quezon,PH045600000,0,,,22/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Infanta,PH045620000,Quezon,PH045600000,1,,,23/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Jomalig,PH045621000,Quezon,PH045600000,0,,,24/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Lopez,PH045622000,Quezon,PH045600000,0,,,25/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Lucban,PH045623000,Quezon,PH045600000,0,,,26/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Lucena City,PH045624000,Quezon,PH045600000,7,,,27/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Macalelon,PH045625000,Quezon,PH045600000,0,,,28/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Mauban,PH045627000,Quezon,PH045600000,0,,,29/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Mulanay,PH045628000,Quezon,PH045600000,0,,,30/04/2020,PHO,https://www.facebook.com/QuezonGovPh/
Padre Burgos,PH045629000,Quezon,PH045600000,0,,,01/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Pagbilao,PH045630000,Quezon,PH045600000,0,,,02/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Panukulan,PH045631000,Quezon,PH045600000,0,,,03/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Patnanungan,PH045632000,Quezon,PH045600000,0,,,04/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Perez,PH045633000,Quezon,PH045600000,0,,,05/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Pitogo,PH045634000,Quezon,PH045600000,0,,,06/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Plaridel,PH045635000,Quezon,PH045600000,0,,,07/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Polillo,PH045636000,Quezon,PH045600000,0,,,08/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Quezon,PH045637000,Quezon,PH045600000,0,,,09/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Real,PH045638000,Quezon,PH045600000,0,,,10/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Sampaloc,PH045639000,Quezon,PH045600000,1,,,11/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
San Andres,PH045640000,Quezon,PH045600000,0,,,12/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
San Antonio,PH045641000,Quezon,PH045600000,0,,,13/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
San Francisco,PH045642000,Quezon,PH045600000,0,,,14/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
San Narciso,PH045644000,Quezon,PH045600000,0,,,15/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Sariaya,PH045645000,Quezon,PH045600000,2,,,16/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Tagkawayan,PH045646000,Quezon,PH045600000,0,,,17/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
City of Tayabas,PH045647000,Quezon,PH045600000,3,,,18/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Tiaong,PH045648000,Quezon,PH045600000,1,,,19/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
Unisan,PH045649000,Quezon,PH045600000,3,,,20/05/2020,PHO,https://www.facebook.com/QuezonGovPh/
